"","id","u_teamid","dv_type","iv_type","software","indepv","mator","dichotomize","twowayfe","cluster_any","Jobs","Unemp","IncDiff","OldAge","House","Health","Scale","w1985","w1990","w1996","w2006","w2016","p","AME_Z","lower_Z","upper_Z","eeurope","allavailable","mlm_any","Hresult","orig13","BELIEF_HYPOTHESIS","PRO_IMMIGRANT","TOPIC_KNOWLEDGE","STATISTICS_SKILL","MODEL_SCORE","main_IV_measurement","emplrate_ivC","socx_ivC","unemprate_ivC","gdp_ivC","degree","SURVEY_WAVES","COUNTRIES","est","lb","ub","belief_ipred","pro_immigrant","topic_ipred","stats_ipred","total_score","count","sig_group","est_sig","est_ns","sig_group2","est_ns_scl","est_sig_scl","ci","ub_order","count2","est2","belief_ipredm","pro_immigrantm","topic_ipredm","stats_ipredm","total_scorem","belief_roll","pro_roll","topic_roll","stats_roll","total_roll","belief_roll2","pro_roll2","topic_roll2","stats_roll2","total_roll2","DV_Jobs","DV_Unemp","DV_IncDiff","DV_OldAge","DV_House","DV_Health","DV_Scale","Test_Stock","Test_Flow","Test_ChangeFlow","M_Gross","M_Net","W_Other","W_96_06","W_96_06_16","W_06_16","C_13","C_Other","C_All","C_CEE","IV_Emp","IV_GDP","IV_Socx","IV_None","Est_ols","Est_logit","Est_mlglm","Est_ologit","Est_bayes"
"413","t3m8",3,"Unemp","Flow","R","None","logit","dichotomous","Yes","No",NA,"Unemp",NA,NA,NA,NA,NA,"Other","Other","w1996","w2006","w2016",0.00894,-0.00490473274707095,-0.00858328230737416,-0.00122618318676774,"Other","Other",NA,"No test","orig13","Mid","High","Mid","Mid","Low","Net Migration",NA,NA,NA,NA,4,"1996, 2006 & 2016","13 Rich Democracies Only",-0.004905,-0.008583,-0.001226,-0.348691545813543,5,-0.0190451932771885,0.0584849625854526,0.333822331666667,433,"1",-0.004905,NA,"1",NA,-0.0981,-0.001226,0,203,-0.004905,-0.675993098136652,0.472888925989402,0.0489120748065926,0.215608869465395,-0.990455081017405,0.0655729091206509,-0.134047747142234,0.26595895916873,0.294796412686991,-0.0577913701332683,0.286738757705959,-0.39346422840011,0.0318344609641061,-0.155000032528967,-0.631862308040641,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"3","t101m11",101,"IncDiff","Stock","Stata","Unemp_Rate","logit","dichotomous","No","No",NA,NA,"IncDiff",NA,NA,NA,NA,"Other","Other","w1996","Other","Other",0.01273,-0.00573,-0.01023,-0.00122,"Other","Other","mlm_any","Support","orig13","Low","High","Mid","Mid","Mid","Immigrant, foreign-born","emplrate_ivC",NA,"unemprate_ivC","gdp_ivC",3,"Other","13 Rich Democracies Only",-0.00573,-0.01023,-0.00122,-0.63574163951231,6,-0.118040177673038,0.0917163439174333,0.437261614,403,"1",-0.00573,NA,"1",NA,-0.1146,-0.00122,0,204,-0.00573,-1.33532686199977,1.35392603214823,-0.268021098990869,0.294429734790369,-0.0855601636922404,0.141212809128571,0.120474083525871,-0.030293582327243,0.175343228655041,0.443121059961946,0.169836281873743,-0.334728421322855,-0.0696115571224566,-0.211233536043345,-0.637927261433165,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
"259","t29m35",29,"IncDiff","Flow","Stata","Soc_Spending","logit","dichotomous","Yes","No",NA,NA,"IncDiff",NA,NA,NA,NA,"Other","Other","w1996","w2006","Other",0.01355,-0.00577357111940923,-0.0103577445476538,-0.00118939769116471,"Other","Other",NA,"Reject","orig13","Mid","Mid","High","Mid","Low","Net Migration",NA,"socx_ivC",NA,NA,1,"1996 & 2006","13 Rich Democracies Only",-0.005774,-0.010358,-0.001189,-0.221394314282198,4.5,0.0544596634266813,0.110231527784193,0.295721273333333,398,"1",-0.005774,NA,"1",NA,-0.11548,-0.001189,0,205,-0.005774,-0.383600360292799,0.0323703729099887,0.284238416508222,0.338345538333104,-1.32376611385539,0.0817410144025091,0.017686421140675,0.00290752184391675,0.208285926437099,0.241897440635911,0.144283500428891,-0.373885626041025,-0.0640138013275384,-0.226957262308974,-0.618231609073007,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"193","t26m3",26,"Scale","Flow","Stata","Soc_Spending","ml_glm","continuous","No","No","Jobs","Unemp","IncDiff","OldAge",NA,NA,"Scale","Other","Other","w1996","w2006","w2016",0.04152,-0.0302814696423627,-0.0593998169475628,-0.00116312233716254,"eeurope","allavailable","mlm_any","Support","Other","Mid","Mid","High","High","High","Net Migration",NA,"socx_ivC","unemprate_ivC",NA,3,"1996, 2006 & 2016","All Available (~26)",-0.030281,-0.0594,-0.001163,0.279844774354565,3.5,0.838172316727261,0.424632889143324,0.557640586666667,86,"1",-0.030281,NA,"1",NA,-0.60562,-0.001163,0,206,-0.030281,0.767710376616453,-0.848666733248838,2.79330026516281,1.08406799609407,0.967524487145379,0.37387490474869,-0.0508386871161228,0.247929179626103,-0.266759093283154,0.188398938709792,0.0674660067920919,-0.403253529579653,-0.0584540777257335,-0.20790769221756,-0.547991505351902,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
"520","t52m18",52,"Health","Stock","Stata","Emp_Rate","logit","dichotomous","Yes","No",NA,NA,NA,NA,NA,"Health",NA,"Other","Other","w1996","w2006","w2016",0.01242,-0.0051,-0.00909,-0.00111,"Other","Other",NA,"Support","Other","Mid","High","Mid","Low","Low","Western Immigrant","emplrate_ivC",NA,NA,NA,3,"1996, 2006 & 2016","Other",-0.0051,-0.00909,-0.00111,0.142389190085743,5.5,-0.0964760633671994,-0.325551066475158,0.33212714,427,"1",-0.0051,NA,"1",NA,-0.102,-0.00111,0,207,-0.0051,0.451984620975091,0.913407479068815,-0.198983427751363,-0.695278698647615,-1.0052847500605,0.265930002783579,-0.148731698911548,0.201964460949618,0.246966062452563,0.0800080892901819,0.144283500428891,-0.373885626041025,-0.0640138013275384,-0.226957262308974,-0.537304163153005,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"711","t62m4",62,"Scale","Flow","R","None","ols","continuous","No","No",NA,NA,NA,"OldAge",NA,"Health","Scale","Other","Other","w1996","w2006","Other",0.00229,-0.00297086669251155,-0.00488196077360241,-0.0010615243016875,"Other","Other",NA,"Reject","orig13","Low","High","High","Mid","Low","Net Migration",NA,NA,NA,NA,3,"1996 & 2006","13 Rich Democracies Only",-0.002971,-0.004882,-0.001062,-0.430166462915249,5.33333333333333,0.0842739765092052,-0.0908032542429638,0.211100246,524,"1",-0.002971,NA,"1",NA,-0.05942,-0.001062,0,208,-0.002971,-0.863135220478116,0.766567961375675,0.379689160073687,-0.138484940710166,-2.06403746730514,-0.388883681927148,0.00789711996113288,-0.208443041778342,-0.0772357238686906,0.176434200450144,0.097063441803403,-0.476673288426222,-0.0708724124647845,-0.254977803488924,-0.521084214064757,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"156","t23m21",23,"IncDiff","Stock","Stata","None","logit","dichotomous","Yes","Yes",NA,NA,"IncDiff",NA,NA,NA,NA,"Other","Other","w1996","w2006","Other",0.03283,-0.01304,-0.02501,-0.00106,"Other","Other",NA,"Reject","orig13","Mid","Mid","Mid","Mid","Low","Immigrant, foreign-born",NA,NA,NA,NA,3,"1996 & 2006","13 Rich Democracies Only",-0.01304,-0.02501,-0.00106,0.237464665826323,3.5,-0.170054147572553,-0.291917329561945,0.348084761666667,229,"1",-0.01304,NA,"1",NA,-0.2608,-0.00106,0,209,-0.01304,0.670366264622619,-0.848666733248838,-0.434544207839908,-0.615503493965988,-0.865686229913852,0.149442088801319,0.154736637654271,0.279065876666519,0.0966268374672963,-0.0416973792750985,0.0484371260756566,-0.447305384887594,0.0442677394730955,-0.213096023211585,-0.500474778391005,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"1095","t94m11",94,"Scale","Flow","R","Soc_Spending","ols","continuous","Yes","No","Jobs","Unemp","IncDiff","OldAge","House","Health","Scale","Other","Other","w1996","w2006","w2016",0.03834,-0.0211954522284137,-0.0411647212700598,-0.00105101416008663,"Other","Other",NA,"Reject","Other","High","Low","Low","Low","Low","Net Migration",NA,"socx_ivC","unemprate_ivC",NA,4,"1996, 2006 & 2016","Other",-0.021195,-0.041165,-0.001051,0.412487548576358,2,-0.284492287645875,-0.671574986967474,0.263178484,149,"1",-0.021195,NA,"1",NA,-0.4239,-0.001051,0,210,-0.021195,1.0723814479615,-2.17022239248708,-0.800918758613989,-1.51600608773441,-1.60845297554901,0.400326245821691,-0.0753119400649787,0.0425573242259614,-0.11238368669605,-0.191038551298628,0.0674455572271112,-0.447305384887594,0.0789262142926292,-0.18942922513276,-0.548351552139435,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
"1022","t86m24",86,"Health","Stock","Stata","Soc_Spending","logit","dichotomous","Yes","No",NA,NA,NA,NA,NA,"Health",NA,"Other","Other","w1996","w2006","w2016",0.00606,-0.00365,-0.00625,-0.00105,"Other","Other",NA,"Support","Other","Mid","High","High","Mid","Low","Western Immigrant",NA,"socx_ivC",NA,NA,3,"1996, 2006 & 2016","Other",-0.00365,-0.00625,-0.00105,0.212192617959643,5.5,0.0121719344736104,-0.0978912385625046,0.33212714,490,"1",-0.00365,NA,"1",NA,-0.073,-0.00105,0,211,-0.00365,0.612318158015996,0.913407479068815,0.148853939894824,-0.155296792492517,-1.0052847500605,-0.305403018588986,0.291786854167865,-0.176886654618232,-0.145537758310404,-0.0134069337383935,0.0684486213569431,-0.442410734297823,0.122522419207665,-0.123108281355585,-0.488267632491859,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"469","t46m6",46,"Health","Stock","Stata","Emp_Rate","logit","dichotomous","Yes","No",NA,NA,NA,NA,NA,"Health",NA,"Other","Other","w1996","w2006","w2016",0.00253,-0.00299,-0.00494,-0.00104,"Other","Other",NA,"Reject","Other","Mid","Mid","High","Mid","Low","Immigrant, foreign-born","emplrate_ivC",NA,NA,NA,3,"1996, 2006 & 2016","Other",-0.00299,-0.00494,-0.00104,-0.155935282194149,3.66666666666667,0.0693577231381616,0.25334630218829,0.33212714,523,"1",-0.00299,NA,"1",NA,-0.0598,-0.00104,0,212,-0.00299,-0.233245593118461,-0.701827215555697,0.331934664723212,0.6777966808128,-1.0052847500605,-0.323962181259956,-0.00678683180818089,-0.194547207148818,-0.0922266081114535,0.145776714237868,0.0349198195179407,-0.417937481348967,0.104873380665802,-0.154400882626826,-0.560128541917777,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"57","t10m1",10,"Jobs","Stock","Stata","Soc_Spending","ml_glm","dichotomous","Yes","Yes","Jobs",NA,NA,NA,NA,NA,NA,"Other","Other","w1996","w2006","w2016",0.02934,-0.01011,-0.0192,-0.00101,"Other","Other","mlm_any","Support","Other","High","Mid","High","High","Mid","Immigrant, foreign-born","emplrate_ivC","socx_ivC",NA,"gdp_ivC",1,"1996, 2006 & 2016","Other",-0.01011,-0.0192,-0.00101,0.391765407517353,4,0.696886381886239,0.8137910361956,0.354621026,281,"1",-0.01011,NA,"1",NA,-0.2022,-0.00101,0,213,-0.01011,1.02478415550399,-0.408148180169424,2.34097230112119,2.00710461598336,-0.808506479241696,-0.0567915473759285,-0.0361547353468091,-0.136241459841785,0.0195901461560758,-0.258723861731818,0.015184801370598,-0.388569577810339,0.0835359308717494,-0.145712874373371,-0.56572412826237,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0
"904","t70m12",70,"OldAge","Stock","Mplus","Soc_Spending","ml_glm","continuous","No","No",NA,NA,NA,"OldAge",NA,NA,NA,"Other","Other","Other","w2006","Other",0.03254,-0.018,-0.034,-0.001,"Other","Other","mlm_any","Support","orig13","Mid","Mid","Mid","Low","Mid","Immigrant, foreign-born","emplrate_ivC","socx_ivC",NA,NA,2,"Other","13 Rich Democracies Only",-0.018,-0.034,-0.001,0.260799571396237,3.5,-0.0605945324347756,-0.940625132876923,0.466845966,171,"1",-0.018,NA,"1",NA,-0.36,-0.001,0,214,-0.018,0.723964892376238,-0.848666733248838,-0.0841084414222412,-2.15416088197959,0.173246057245081,0.221406931398317,0.223261745911068,0.0543095932657525,-0.13402075176524,0.0940439871324954,-0.0278142631405571,-0.368990975451254,0.102620449659333,-0.124571107328054,-0.530264824136058,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"599","t59m11",59,"IncDiff","Stock","R","Emp_Rate","logit","dichotomous","Yes","No",NA,NA,"IncDiff",NA,NA,NA,NA,"Other","Other","w1996","w2006","w2016",0.02216,-0.007,-0.013,-0.001,"Other","Other",NA,"Reject","orig13","High","Low","Low","Mid","Low","Immigrant, foreign-born","emplrate_ivC",NA,NA,NA,1,"1996, 2006 & 2016","13 Rich Democracies Only",-0.007,-0.013,-0.001,0.414807129214198,3,-0.304879985215001,-0.142529793780799,0.333822331666667,363,"1",-0.007,NA,"1",NA,-0.14,-0.001,0,215,-0.007,1.07770936063634,-1.28918528632825,-0.866190122980978,-0.2611741111033,-0.990455081017405,-0.0744729409176543,-0.104679843603607,-0.142063148709327,0.00967616382417191,-0.0974429093265692,-0.0278142631405571,-0.368990975451254,0.102620449659333,-0.124571107328054,-0.530264824136058,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"165","t23m3",23,"IncDiff","Stock","Stata","None","logit","dichotomous","Yes","Yes",NA,NA,"IncDiff",NA,NA,NA,NA,"Other","Other","w1996","w2006","Other",0.03119,-0.01073,-0.02049,-0.00098,"Other","Other",NA,"Reject","orig13","Mid","Mid","Mid","Mid","Low","Immigrant, foreign-born",NA,NA,NA,NA,3,"1996 & 2006","13 Rich Democracies Only",-0.01073,-0.02049,-0.00098,0.237464665826323,3.5,-0.170054147572553,-0.291917329561945,0.348084761666667,267,"1",-0.01073,NA,"1",NA,-0.2146,-0.00098,0,216,-0.01073,0.670366264622619,-0.848666733248838,-0.434544207839908,-0.615503493965988,-0.865686229913852,-0.00136647920104614,0.125368734115642,0.0280470026726936,0.0587341598616845,0.150197098403309,-0.0710894895743546,-0.329833770733084,0.0771271997274161,-0.159954930894886,-0.59101536580071,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"190","t23m9",23,"IncDiff","Stock","Stata","Soc_Spending","logit","dichotomous","Yes","Yes",NA,NA,"IncDiff",NA,NA,NA,NA,"Other","Other","w1996","w2006","Other",0.03223,-0.0112,-0.02146,-0.00094,"Other","Other",NA,"Reject","orig13","Mid","Mid","Mid","Mid","Low","Immigrant, foreign-born",NA,"socx_ivC",NA,NA,3,"1996 & 2006","13 Rich Democracies Only",-0.0112,-0.02146,-0.00094,0.237464665826323,3.5,-0.170054147572553,-0.291917329561945,0.348084761666667,254,"1",-0.0112,NA,"1",NA,-0.224,-0.00094,0,217,-0.0112,0.670366264622619,-0.848666733248838,-0.434544207839908,-0.615503493965988,-0.865686229913852,0.335409911857585,0.0715275776281589,0.160201494025938,-0.143564494700831,0.21466693799636,-0.0112426901654231,-0.378780276630797,0.104425873411387,-0.115297947729273,-0.528809187199647,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"1056","t86m6",86,"Health","Stock","Stata","None","logit","dichotomous","Yes","No",NA,NA,NA,NA,NA,"Health",NA,"Other","Other","w1996","w2006","w2016",0.00755,-0.0035,-0.00606,-0.00093,"Other","Other",NA,"Support","Other","Mid","High","High","Mid","Low","Western Immigrant",NA,NA,NA,NA,3,"1996, 2006 & 2016","Other",-0.0035,-0.00606,-0.00093,0.212192617959643,5.5,0.0121719344736104,-0.0978912385625046,0.33212714,497,"1",-0.0035,NA,"1",NA,-0.07,-0.00093,0,218,-0.0035,0.612318158015996,0.913407479068815,0.148853939894824,-0.155296792492517,-1.0052847500605,-0.199453010430562,0.130263384705414,-0.0879591305014959,-0.149008920882609,0.0662264802895952,0.0320325362683744,-0.417937481348967,0.129919123343305,-0.079914124162442,-0.468058645534996,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"1126","t96m21",96,"IncDiff","Stock","Stata","None","logit","dichotomous","Yes","No",NA,NA,"IncDiff",NA,NA,NA,NA,"Other","Other","w1996","w2006","w2016",0.01581,-0.00473,-0.00857,-9e-04,"Other","Other",NA,"Reject","orig13","Low","High","Low","Mid","Low","Immigrant, foreign-born",NA,NA,NA,NA,4,"1996, 2006 & 2016","13 Rich Democracies Only",-0.00473,-0.00857,-9e-04,-1.13508799270782,6,-0.253722245526001,0.102538885683808,0.333822331666667,442,"1",-0.00473,NA,"1",NA,-0.0946,-9e-04,0,219,-0.00473,-2.4822901194625,1.35392603214823,-0.702408241475687,0.320099510552004,-0.990455081017405,-0.06329464617792,0.257524300039466,0.201910454498951,0.261549632576919,-0.106780370736646,0.0687685785644181,-0.486462589605764,0.149917648800441,-0.0671352259616942,-0.498716131747271,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"1075","t93m11",93,"Scale","Flow","Mplus","None","ml_glm","continuous","Yes","No","Jobs","Unemp","IncDiff",NA,"House",NA,"Scale","Other","Other","w1996","w2006","w2016",0.00667,-0.0030269207810495,-0.0052130302340297,-0.000840811328069306,"eeurope","Other",NA,"Reject","Other","Mid","Mid","Mid","Low","Mid","Net Migration",NA,NA,NA,NA,1,"1996, 2006 & 2016","Includes Eastern/CE Europe",-0.003027,-0.005213,-0.000841,-0.1356830947801,3.66666666666667,-0.116036690692199,-0.40937209516019,0.453728606666667,517,"1",-0.003027,NA,"1",NA,-0.06054,-0.000841,0,220,-0.003027,-0.186727750946359,-0.701827215555697,-0.261606920622396,-0.894092161963552,0.0584943737288484,-0.262802255187928,-0.0851012412445211,-0.191340463688345,-0.120405007363089,0.224192149151354,0.0966214112733478,-0.457094686067136,0.133810253991788,-0.101589367194385,-0.488100086287441,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"657","t60m13",60,"Jobs","Flow","Stata","None","logit","dichotomous","No","No","Jobs",NA,NA,NA,NA,NA,NA,"Other","Other","w1996","w2006","Other",0.02519,-0.00661087906694492,-0.0124002153987554,-0.000819791044867573,"eeurope","allavailable","mlm_any","Reject","Other","Low","Low","Low","Low","Mid","Net Migration",NA,NA,NA,NA,5,"1996 & 2006","All Available (~26)",-0.006611,-0.0124,-0.00082,-0.590819272097492,1,-0.232394420015492,-0.430632366517396,0.504054605,375,"1",-0.006611,NA,"1",NA,-0.13222,-0.00082,0,221,-0.006611,-1.23214336114247,-3.0512594986459,-0.634127050559842,-0.944518984992002,0.498750136084159,0.0881843617439599,-0.124258445962691,-0.0369729696828963,0.0815670962316768,-0.117941835049908,0.104421297800712,-0.383674927220568,0.0401989661644337,-0.143747974307939,-0.512691430437785,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"1096","t94m12",94,"Scale","Flow","R","Soc_Spending","ml_glm","continuous","No","No","Jobs","Unemp","IncDiff","OldAge","House","Health","Scale","Other","Other","w1996","w2006","w2016",0.04119,-0.0175169026681105,-0.0343331292294967,-0.000700676106724422,"Other","Other","mlm_any","Reject","Other","High","Low","Low","Low","Mid","Net Migration",NA,"socx_ivC","unemprate_ivC",NA,4,"1996, 2006 & 2016","Other",-0.017517,-0.034333,-0.000701,0.412487548576358,2,-0.284492287645875,-0.671574986967474,0.486405868,178,"1",-0.017517,NA,"1",NA,-0.35034,-0.000701,0,222,-0.017517,1.0723814479615,-2.17022239248708,-0.800918758613989,-1.51600608773441,0.344357606976654,0.364189098803838,0.0911061799872438,0.0494251269610733,-0.189349281571424,0.207951995696398,0.101456215985167,-0.378780276630796,0.0237976703483942,-0.0937723816418211,-0.566121012234647,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"672","t60m5",60,"Jobs","Stock","Stata","Soc_Spending","logit","dichotomous","No","No","Jobs",NA,NA,NA,NA,NA,NA,"Other","Other","w1996","w2006","Other",0.03657,-0.0097,-0.0188,-6e-04,"Other","Other","mlm_any","Reject","Other","Low","Low","Low","Low","Mid","Immigrant, foreign-born",NA,"socx_ivC",NA,NA,5,"1996 & 2006","Other",-0.0097,-0.0188,-6e-04,-0.590819272097492,1,-0.232394420015492,-0.430632366517396,0.449755501666667,289,"1",-0.0097,NA,"1",NA,-0.194,-6e-04,0,223,-0.0097,-1.23214336114247,-3.0512594986459,-0.634127050559842,-0.944518984992002,0.0237373410097552,-0.035267851642464,0.105790131756558,0.0473298392992898,0.110560567174847,-0.396001668642931,0.111646189232178,-0.427726782528509,0.000693085925279295,-0.0973596819367652,-0.466840664622277,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"895","t6m3",6,"IncDiff","Stock","Stata","Soc_Spending","ologit","continuous","Yes","Yes",NA,NA,"IncDiff",NA,NA,NA,NA,"Other","Other","w1996","w2006","w2016",0.04598,-0.03185,-0.06314,-0.00056,"Other","Other",NA,"Support","Other","Mid","Mid","High","High","Mid","Immigrant, foreign-born",NA,"socx_ivC","unemprate_ivC","gdp_ivC",3,"1996, 2006 & 2016","Other",-0.03185,-0.06314,-0.00056,-0.220297088902555,4,0.774050699874183,0.387199005384326,0.404498778,81,"1",-0.03185,NA,"1",NA,-0.637,-0.00056,0,224,-0.03185,-0.38108011119605,-0.408148180169424,2.58801443515542,0.995279297216864,-0.372172010804837,0.288495320014626,-0.202572855399032,0.408618825596545,-0.323281393752435,0.192971420508385,0.12269087949267,-0.35430702368194,0.0146766138646824,-0.0828659060483174,-0.430324984870647,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0
"1042","t86m42",86,"Health","Stock","Stata","Emp_Rate","logit","dichotomous","Yes","No",NA,NA,NA,NA,NA,"Health",NA,"Other","Other","w1996","w2006","w2016",0.01786,-0.00315,-0.00575,-0.00055,"Other","Other",NA,"Support","Other","Mid","High","High","Mid","Low","Western Immigrant","emplrate_ivC",NA,NA,NA,3,"1996, 2006 & 2016","Other",-0.00315,-0.00575,-0.00055,0.212192617959643,5.5,0.0121719344736104,-0.0978912385625046,0.33212714,509,"1",-0.00315,NA,"1",NA,-0.063,-0.00055,0,225,-0.00315,0.612318158015996,0.913407479068815,0.148853939894824,-0.155296792492517,-1.0052847500605,-0.0770591442313847,-0.0899958918342924,-0.0281095195235822,-0.0281584379356405,0.0586286524989773,0.0883470053430317,-0.251519361296743,0.0116772289954424,-0.0611757276190798,-0.362342603605932,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"282","t2m4",2,"Scale","Flow","Stata","None","ml_glm","continuous","Yes","No","Jobs","Unemp","IncDiff","OldAge",NA,"Health","Scale","w1985","w1990","w1996","w2006","w2016",0.04132,-0.0132988325056295,-0.0260756613117493,-0.000523755389776505,"Other","Other","mlm_any","No test","Other","Mid","Mid","High","High","High","Immigrant, foreign-born",NA,NA,NA,NA,4,"Other","Other",-0.013299,-0.026076,-0.000524,0.250565602024423,3.66666666666667,0.238467835806846,0.546922702402738,0.55413203,226,"1",-0.013299,NA,"1",NA,-0.26598,-0.000524,0,226,-0.013299,0.700458188517577,-0.701827215555697,0.873341939611167,1.37412481934926,0.936831359513429,0.124362302693336,0.149841987064499,0.247880516986757,0.113005430239448,-0.104128139994379,0.0886785232384076,-0.305360517784227,0.0338390834244187,-0.0134283819869846,-0.301097739639844,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"250","t29m27",29,"IncDiff","Flow","Stata","None","logit","dichotomous","Yes","No",NA,NA,"IncDiff",NA,NA,NA,NA,"Other","Other","w1996","w2006","Other",0.03021,-0.00503786120734859,-0.00959225590105733,-0.000483466513639851,"Other","Other",NA,"Reject","orig13","Mid","Mid","High","Mid","Low","Net Migration",NA,NA,NA,NA,1,"1996 & 2006","13 Rich Democracies Only",-0.005038,-0.009592,-0.000483,-0.221394314282198,4.5,0.0544596634266813,0.110231527784193,0.295721273333333,430,"1",-0.005038,NA,"1",NA,-0.10076,-0.000483,0,227,-0.005038,-0.383600360292799,0.0323703729099887,0.284238416508222,0.338345538333104,-1.32376611385539,0.146049204811115,-0.119363795372921,0.0457422215669092,0.168136056778781,0.0258524714460221,0.111519530374859,-0.251519361296743,0.0161418136752662,-0.0591975613023318,-0.301097739639844,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"1243","t98m3",98,"IncDiff","Stock","R","None","ml_glm","dichotomous","No","No",NA,NA,"IncDiff",NA,NA,NA,NA,"Other","Other","w1996","w2006","w2016",0.03426,-0.00561,-0.0108,-0.00042,"eeurope","allavailable","mlm_any","Support","Other","Mid","High","Low","Low","Mid","Immigrant, foreign-born",NA,NA,NA,NA,4,"1996, 2006 & 2016","All Available (~26)",-0.00561,-0.0108,-0.00042,-0.036074901867736,5.5,-0.312598281231511,-0.397233445206074,0.496312141666667,407,"1",-0.00561,NA,"1",NA,-0.1122,-0.00042,0,228,-0.00561,0.0420652234723593,0.913407479068815,-0.890900304691188,-0.865300734857282,0.431018462392415,0.304554579520032,0.0911061799872433,-0.0641462438960032,0.0618643688157422,0.499363288147056,0.0695852054207775,-0.261308662476286,-0.0508261075379999,-0.103507825808017,-0.307657015333805,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"1082","t93m18",93,"Scale","Flow","Mplus","GDP_Per_Capita","ml_glm","continuous","Yes","No",NA,NA,NA,"OldAge",NA,"Health","Scale","Other","Other","w1996","w2006","w2016",0.01392,-0.00227019058578713,-0.00403589437473267,-0.000420405664034653,"eeurope","Other",NA,"Reject","Other","Mid","Mid","Mid","Low","Mid","Net Migration",NA,NA,NA,"gdp_ivC",1,"1996, 2006 & 2016","Includes Eastern/CE Europe",-0.00227,-0.004036,-0.00042,-0.1356830947801,3.66666666666667,-0.116036690692199,-0.40937209516019,0.453728606666667,553,"1",-0.00227,NA,"1",NA,-0.0454,-0.00042,0,229,-0.00227,-0.186727750946359,-0.701827215555697,-0.261606920622396,-0.894092161963552,0.0584943737288484,-0.628505154498541,0.179209890603127,-0.164925956134486,0.0765722303492087,0.161105459579625,0.0804994670282924,-0.246624710706972,-0.0480550975488407,0.00771541469579143,-0.31644311818844,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
